Time,ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_0::Des Latent Heat Load [W],ZONE_0::Des Latent Cool Load [W],ZONE_0::Des Latent Heat Mass Flow [kg/s],ZONE_0::Des Latent Cool Mass Flow [kg/s],ZONE_0::Des Heat Load No DOAS [W],ZONE_0::Des Sens Cool Load No DOAS [W],ZONE_0::Des Latent Heat Load No DOAS [W],ZONE_0::Des Latent Cool Load No DOAS [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%],ZONE_1:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_1:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_1:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_1:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_1::Des Latent Heat Load [W],ZONE_1::Des Latent Cool Load [W],ZONE_1::Des Latent Heat Mass Flow [kg/s],ZONE_1::Des Latent Cool Mass Flow [kg/s],ZONE_1::Des Heat Load No DOAS [W],ZONE_1::Des Sens Cool Load No DOAS [W],ZONE_1::Des Latent Heat Load No DOAS [W],ZONE_1::Des Latent Cool Load No DOAS [W],ZONE_1:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_1:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_1:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_1:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%],ZONE_2:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_2:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_2:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_2:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_2::Des Latent Heat Load [W],ZONE_2::Des Latent Cool Load [W],ZONE_2::Des Latent Heat Mass Flow [kg/s],ZONE_2::Des Latent Cool Mass Flow [kg/s],ZONE_2::Des Heat Load No DOAS [W],ZONE_2::Des Sens Cool Load No DOAS [W],ZONE_2::Des Latent Heat Load No DOAS [W],ZONE_2::Des Latent Cool Load No DOAS [W],ZONE_2:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_2:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_2:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_2:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%],ZONE_3:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_3:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_3:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_3:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_3::Des Latent Heat Load [W],ZONE_3::Des Latent Cool Load [W],ZONE_3::Des Latent Heat Mass Flow [kg/s],ZONE_3::Des Latent Cool Mass Flow [kg/s],ZONE_3::Des Heat Load No DOAS [W],ZONE_3::Des Sens Cool Load No DOAS [W],ZONE_3::Des Latent Heat Load No DOAS [W],ZONE_3::Des Latent Cool Load No DOAS [W],ZONE_3:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_3:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_3:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_3:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%],ZONE_4:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_4:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_4:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_4:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_4::Des Latent Heat Load [W],ZONE_4::Des Latent Cool Load [W],ZONE_4::Des Latent Heat Mass Flow [kg/s],ZONE_4::Des Latent Cool Mass Flow [kg/s],ZONE_4::Des Heat Load No DOAS [W],ZONE_4::Des Sens Cool Load No DOAS [W],ZONE_4::Des Latent Heat Load No DOAS [W],ZONE_4::Des Latent Cool Load No DOAS [W],ZONE_4:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_4:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_4:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_4:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%]
00:15:00,3.506549E+02,4.047281E+02,3.148868E-02,4.952522E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899892E+01,2.370525E+01,2.599951E+01,4.095349E+01,4.797468E+02,1.213722E+02,4.308100E-02,1.485165E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899895E+01,2.484037E+01,2.599970E+01,4.187974E+01,1.305619E+02,1.139574E+01,1.172450E-02,1.394427E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899907E+01,2.441146E+01,2.599980E+01,4.964995E+01,9.638478E+01,1.137918E+01,8.655412E-03,1.392385E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899912E+01,2.445843E+01,2.599989E+01,4.268204E+01,5.671421E+02,5.990408E+02,5.092908E-02,7.330262E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899890E+01,2.359514E+01,2.599951E+01,4.107239E+01
00:30:00,3.644772E+02,3.961698E+02,3.272970E-02,4.847834E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899893E+01,2.375092E+01,2.599945E+01,4.115678E+01,5.009350E+02,1.154650E+02,4.498344E-02,1.412887E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899894E+01,2.483185E+01,2.599966E+01,4.224857E+01,1.350519E+02,8.795766E+00,1.212765E-02,1.076283E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899907E+01,2.439956E+01,2.599981E+01,5.014697E+01,9.970867E+01,9.674029E+00,8.953860E-03,1.183739E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899911E+01,2.444663E+01,2.599988E+01,4.318711E+01,5.892332E+02,5.857235E+02,5.291249E-02,7.167358E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899891E+01,2.364201E+01,2.599944E+01,4.129472E+01
00:45:00,3.789052E+02,3.888687E+02,3.402510E-02,4.758533E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899893E+01,2.378370E+01,2.599937E+01,4.139073E+01,5.227749E+02,1.106231E+02,4.694438E-02,1.353646E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899893E+01,2.482392E+01,2.599961E+01,4.266392E+01,1.396607E+02,6.307068E+00,1.254145E-02,7.717562E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899906E+01,2.438730E+01,2.599983E+01,5.061497E+01,1.031180E+02,8.175828E+00,9.259974E-03,1.000415E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899911E+01,2.443461E+01,2.599986E+01,4.375459E+01,6.123072E+02,5.744707E+02,5.498415E-02,7.029719E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899892E+01,2.367544E+01,2.599937E+01,4.154924E+01
01:00:00,3.939404E+02,3.827801E+02,3.537502E-02,4.684068E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899893E+01,2.380745E+01,2.599929E+01,4.164871E+01,5.452680E+02,1.068257E+02,4.896394E-02,1.307186E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899892E+01,2.481714E+01,2.599956E+01,4.312166E+01,1.443887E+02,3.929050E+00,1.296596E-02,4.807719E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899905E+01,2.437582E+01,2.599984E+01,5.105810E+01,1.066131E+02,6.884629E+00,9.573788E-03,8.424210E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899910E+01,2.442343E+01,2.599985E+01,4.438123E+01,6.363660E+02,5.652158E+02,5.714424E-02,6.916529E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899892E+01,2.369936E+01,2.599929E+01,4.182973E+01
01:15:00,3.961776E+02,3.774455E+02,3.557592E-02,4.618835E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899893E+01,2.382557E+01,2.599920E+01,4.192150E+01,5.482311E+02,1.044520E+02,4.922999E-02,1.278147E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899891E+01,2.481109E+01,2.599951E+01,4.361337E+01,1.449670E+02,3.385367E+00,1.301788E-02,4.142443E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899905E+01,2.436499E+01,2.599986E+01,5.148165E+01,1.070450E+02,6.635319E+00,9.612572E-03,8.119163E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899909E+01,2.441294E+01,2.599983E+01,4.505892E+01,6.396951E+02,5.574228E+02,5.744321E-02,6.821234E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899892E+01,2.371730E+01,2.599920E+01,4.212700E+01
01:30:00,4.067725E+02,3.722612E+02,3.652732E-02,4.555442E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899893E+01,2.383661E+01,2.599910E+01,4.215145E+01,5.513820E+02,1.021664E+02,4.951289E-02,1.250187E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899890E+01,2.480503E+01,2.599945E+01,4.407286E+01,1.456024E+02,2.839831E+00,1.307493E-02,3.474901E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899904E+01,2.435424E+01,2.599988E+01,5.190893E+01,1.075179E+02,6.404811E+00,9.655031E-03,7.837122E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899909E+01,2.440250E+01,2.599981E+01,4.571749E+01,6.553652E+02,5.498612E+02,5.885036E-02,6.728774E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899892E+01,2.372801E+01,2.599910E+01,4.238181E+01
01:45:00,4.171780E+02,3.672271E+02,3.746165E-02,4.493888E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899885E+01,2.388332E+01,2.599903E+01,4.232254E+01,5.547234E+02,9.996962E+01,4.981290E-02,1.223314E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899890E+01,2.479872E+01,2.599940E+01,4.446991E+01,1.462952E+02,2.292425E+00,1.313714E-02,2.805072E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899903E+01,2.434331E+01,2.599990E+01,5.235308E+01,1.080319E+02,6.193126E+00,9.701179E-03,7.578114E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899908E+01,2.439186E+01,2.599980E+01,4.631950E+01,6.707233E+02,5.425320E+02,6.022937E-02,6.639157E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899884E+01,2.377063E+01,2.599902E+01,4.257585E+01
02:00:00,4.273194E+02,3.623436E+02,3.837224E-02,4.434171E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899885E+01,2.393844E+01,2.599897E+01,4.244921E+01,5.582588E+02,9.786280E+01,5.013034E-02,1.197540E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899889E+01,2.479225E+01,2.599936E+01,4.480710E+01,1.470456E+02,1.513545E+00,1.320451E-02,1.852012E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899902E+01,2.433225E+01,2.599993E+01,5.281740E+01,1.085871E+02,6.000374E+00,9.751029E-03,7.342270E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899907E+01,2.438108E+01,2.599979E+01,4.685999E+01,6.856518E+02,5.354364E+02,6.156981E-02,6.552393E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899884E+01,2.382082E+01,2.599896E+01,4.272206E+01
02:15:00,4.380593E+02,3.563957E+02,3.933659E-02,4.361419E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899886E+01,2.398020E+01,2.599893E+01,4.255140E+01,5.609751E+02,9.479954E+01,5.037421E-02,1.160062E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899888E+01,2.478579E+01,2.599933E+01,4.509890E+01,1.477099E+02,8.717309E-01,1.326415E-02,1.066670E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899901E+01,2.432120E+01,2.600858E+01,5.330104E+01,1.090799E+02,5.616614E+00,9.795276E-03,6.872700E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899906E+01,2.437030E+01,2.599978E+01,4.734779E+01,7.015336E+02,5.265553E+02,6.299587E-02,6.443764E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899885E+01,2.385892E+01,2.599893E+01,4.284010E+01
02:30:00,4.405010E+02,3.493957E+02,3.955579E-02,4.275781E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899886E+01,2.400759E+01,2.599892E+01,4.264390E+01,5.628814E+02,9.080065E+01,5.054536E-02,1.111132E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899887E+01,2.477871E+01,2.599933E+01,4.536784E+01,1.482881E+02,3.671572E-01,1.331607E-02,4.492613E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899901E+01,2.431148E+01,2.600752E+01,5.378363E+01,1.095103E+02,5.041848E+00,9.833917E-03,6.169399E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899906E+01,2.436087E+01,2.599980E+01,4.780499E+01,7.051934E+02,5.159081E+02,6.332441E-02,6.313507E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899885E+01,2.388422E+01,2.599891E+01,4.294595E+01
02:45:00,4.431759E+02,3.413454E+02,3.979600E-02,4.177279E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899886E+01,2.402642E+01,2.599892E+01,4.273276E+01,5.639489E+02,8.587218E+01,5.064119E-02,1.050824E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899887E+01,2.477093E+01,2.599935E+01,4.562722E+01,1.487801E+02,0.000000E+00,1.336024E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899900E+01,2.430342E+01,2.599634E+01,5.421817E+01,1.098782E+02,4.275425E+00,9.866950E-03,5.231571E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899905E+01,2.435310E+01,2.599983E+01,4.824649E+01,7.092616E+02,5.034976E+02,6.368974E-02,6.161653E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899885E+01,2.390200E+01,2.599891E+01,4.304678E+01
03:00:00,4.379608E+02,3.322494E+02,3.932771E-02,4.065972E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899886E+01,2.404143E+01,2.599891E+01,4.281905E+01,5.641487E+02,8.003428E+01,5.065911E-02,9.793847E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899887E+01,2.476259E+01,2.599937E+01,4.588241E+01,1.491860E+02,0.000000E+00,1.339668E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899900E+01,2.429660E+01,2.598311E+01,5.456838E+01,1.101837E+02,3.317004E+00,9.894376E-03,4.058805E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899905E+01,2.434656E+01,2.599987E+01,4.867946E+01,7.017098E+02,4.893307E+02,6.301162E-02,5.988295E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899885E+01,2.391642E+01,2.599890E+01,4.314433E+01
03:15:00,4.322159E+02,3.236035E+02,3.881188E-02,3.960169E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899892E+01,2.401813E+01,2.599891E+01,4.290238E+01,5.646416E+02,7.455530E+01,5.070335E-02,9.123365E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899886E+01,2.475383E+01,2.599939E+01,4.613489E+01,1.495631E+02,0.000000E+00,1.343054E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899899E+01,2.429048E+01,2.597170E+01,5.482947E+01,1.104681E+02,2.425737E+00,9.919913E-03,2.968207E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899904E+01,2.434071E+01,2.599991E+01,4.910725E+01,6.933340E+02,4.758961E+02,6.225959E-02,5.823890E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899891E+01,2.389567E+01,2.599891E+01,4.323853E+01
03:30:00,4.257646E+02,3.153847E+02,3.823263E-02,3.859591E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899892E+01,2.398427E+01,2.599891E+01,4.296975E+01,5.653817E+02,6.941720E+01,5.076979E-02,8.494596E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899886E+01,2.474744E+01,2.599940E+01,4.636846E+01,1.499115E+02,0.000000E+00,1.346182E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899899E+01,2.428570E+01,2.596500E+01,5.501577E+01,1.107316E+02,1.476095E+00,9.943569E-03,1.806191E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899904E+01,2.433619E+01,2.599994E+01,4.951189E+01,6.838793E+02,4.631589E+02,6.141066E-02,5.668016E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899891E+01,2.386503E+01,2.599890E+01,4.331598E+01
03:45:00,4.185941E+02,3.075843E+02,3.758878E-02,3.764133E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899891E+01,2.396012E+01,2.599891E+01,4.301814E+01,5.664051E+02,6.461245E+01,5.086167E-02,7.906619E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899885E+01,2.474390E+01,2.599942E+01,4.657657E+01,1.502313E+02,0.000000E+00,1.349053E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899899E+01,2.428232E+01,2.596046E+01,5.515234E+01,1.109742E+02,7.664495E-01,9.965351E-03,9.378460E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899903E+01,2.433305E+01,2.600643E+01,4.988143E+01,6.733250E+02,4.511070E+02,6.046297E-02,5.520528E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899890E+01,2.384313E+01,2.599891E+01,4.337318E+01
04:00:00,4.188473E+02,3.001913E+02,3.761155E-02,3.673658E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899890E+01,2.394967E+01,2.599892E+01,4.305183E+01,5.677385E+02,6.011767E+01,5.098138E-02,7.356575E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899885E+01,2.474228E+01,2.599945E+01,4.676166E+01,1.505226E+02,0.000000E+00,1.351668E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899898E+01,2.427993E+01,2.595561E+01,5.525616E+01,1.111960E+02,2.974392E-01,9.985265E-03,3.639527E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899903E+01,2.433089E+01,2.600189E+01,5.024011E+01,6.737358E+02,4.397243E+02,6.049992E-02,5.381229E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899889E+01,2.383383E+01,2.599892E+01,4.341423E+01
04:15:00,4.196746E+02,2.930882E+02,3.768581E-02,3.586729E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899889E+01,2.394880E+01,2.599894E+01,4.307632E+01,5.668730E+02,5.585478E+01,5.090365E-02,6.834908E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899884E+01,2.474157E+01,2.599948E+01,4.692931E+01,1.502697E+02,0.000000E+00,1.349397E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899898E+01,2.427810E+01,2.595008E+01,5.533304E+01,1.110249E+02,0.000000E+00,9.969901E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899903E+01,2.432927E+01,2.598736E+01,5.057015E+01,6.750282E+02,4.288199E+02,6.061593E-02,5.247778E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899888E+01,2.383352E+01,2.599893E+01,4.344471E+01
