Time,ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_0::Des Latent Heat Load [W],ZONE_0::Des Latent Cool Load [W],ZONE_0::Des Latent Heat Mass Flow [kg/s],ZONE_0::Des Latent Cool Mass Flow [kg/s],ZONE_0::Des Heat Load No DOAS [W],ZONE_0::Des Sens Cool Load No DOAS [W],ZONE_0::Des Latent Heat Load No DOAS [W],ZONE_0::Des Latent Cool Load No DOAS [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%],ZONE_1:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_1:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_1:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_1:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_1::Des Latent Heat Load [W],ZONE_1::Des Latent Cool Load [W],ZONE_1::Des Latent Heat Mass Flow [kg/s],ZONE_1::Des Latent Cool Mass Flow [kg/s],ZONE_1::Des Heat Load No DOAS [W],ZONE_1::Des Sens Cool Load No DOAS [W],ZONE_1::Des Latent Heat Load No DOAS [W],ZONE_1::Des Latent Cool Load No DOAS [W],ZONE_1:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_1:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_1:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_1:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%],ZONE_2:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_2:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_2:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_2:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_2::Des Latent Heat Load [W],ZONE_2::Des Latent Cool Load [W],ZONE_2::Des Latent Heat Mass Flow [kg/s],ZONE_2::Des Latent Cool Mass Flow [kg/s],ZONE_2::Des Heat Load No DOAS [W],ZONE_2::Des Sens Cool Load No DOAS [W],ZONE_2::Des Latent Heat Load No DOAS [W],ZONE_2::Des Latent Cool Load No DOAS [W],ZONE_2:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_2:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_2:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_2:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%],ZONE_3:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_3:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_3:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_3:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_3::Des Latent Heat Load [W],ZONE_3::Des Latent Cool Load [W],ZONE_3::Des Latent Heat Mass Flow [kg/s],ZONE_3::Des Latent Cool Mass Flow [kg/s],ZONE_3::Des Heat Load No DOAS [W],ZONE_3::Des Sens Cool Load No DOAS [W],ZONE_3::Des Latent Heat Load No DOAS [W],ZONE_3::Des Latent Cool Load No DOAS [W],ZONE_3:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_3:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_3:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_3:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%],ZONE_4:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_4:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_4:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_4:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_4::Des Latent Heat Load [W],ZONE_4::Des Latent Cool Load [W],ZONE_4::Des Latent Heat Mass Flow [kg/s],ZONE_4::Des Latent Cool Mass Flow [kg/s],ZONE_4::Des Heat Load No DOAS [W],ZONE_4::Des Sens Cool Load No DOAS [W],ZONE_4::Des Latent Heat Load No DOAS [W],ZONE_4::Des Latent Cool Load No DOAS [W],ZONE_4:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_4:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_4:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_4:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%]
00:15:00,1.728524E+02,2.760181E+02,1.552229E-02,3.377523E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899913E+01,2.237743E+01,2.599957E+01,4.130217E+01,2.485136E+02,9.836797E+01,2.231633E-02,1.203671E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899892E+01,2.350881E+01,2.599973E+01,4.207117E+01,6.903847E+01,1.335393E+01,6.199689E-03,1.634043E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899912E+01,2.303438E+01,2.599976E+01,4.939642E+01,5.072957E+01,1.260461E+01,4.555544E-03,1.542360E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899912E+01,2.309245E+01,2.599965E+01,4.862438E+01,3.052141E+02,4.074152E+02,2.740840E-02,4.985373E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899910E+01,2.245323E+01,2.599957E+01,4.142924E+01
00:30:00,1.971228E+02,2.694664E+02,1.770170E-02,3.297375E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899913E+01,2.241598E+01,2.599951E+01,4.156158E+01,2.639731E+02,9.311505E+01,2.370445E-02,1.139398E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899892E+01,2.350614E+01,2.599969E+01,4.246838E+01,7.334485E+01,1.059044E+01,6.586378E-03,1.295891E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899911E+01,2.303802E+01,2.599976E+01,4.987152E+01,5.395249E+01,1.067637E+01,4.844944E-03,1.306414E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899912E+01,2.309515E+01,2.599965E+01,4.904778E+01,3.441345E+02,3.969283E+02,3.090331E-02,4.857081E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899910E+01,2.248470E+01,2.599951E+01,4.171005E+01
00:45:00,2.217777E+02,2.640604E+02,1.991563E-02,3.231248E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899913E+01,2.244238E+01,2.599944E+01,4.185604E+01,2.798186E+02,8.878204E+01,2.512722E-02,1.086382E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899891E+01,2.349961E+01,2.599965E+01,4.291492E+01,7.776332E+01,7.951496E+00,6.983128E-03,9.729788E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899911E+01,2.303542E+01,2.599977E+01,5.031612E+01,5.725506E+01,8.838269E+00,5.141493E-03,1.081499E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899911E+01,2.309195E+01,2.599965E+01,4.944082E+01,3.837258E+02,3.883399E+02,3.445845E-02,4.752023E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899910E+01,2.250508E+01,2.599945E+01,4.202774E+01
01:00:00,2.468175E+02,2.598021E+02,2.216410E-02,3.179166E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899913E+01,2.246124E+01,2.599936E+01,4.217997E+01,2.960490E+02,8.538399E+01,2.658454E-02,1.044807E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899890E+01,2.349168E+01,2.599961E+01,4.340672E+01,8.229362E+01,5.436206E+00,7.389916E-03,6.651968E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899910E+01,2.302974E+01,2.599978E+01,5.073429E+01,6.063708E+01,7.089669E+00,5.445174E-03,8.675343E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899910E+01,2.308589E+01,2.599965E+01,4.980784E+01,4.239872E+02,3.816536E+02,3.807374E-02,4.670241E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899909E+01,2.251875E+01,2.599937E+01,4.237707E+01
01:15:00,2.497882E+02,2.564685E+02,2.243086E-02,3.138400E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899912E+01,2.247504E+01,2.599928E+01,4.252415E+01,2.978653E+02,8.368852E+01,2.674761E-02,1.024065E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899889E+01,2.348315E+01,2.599956E+01,4.393516E+01,8.281894E+01,4.933131E+00,7.437086E-03,6.036378E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899909E+01,2.302230E+01,2.599980E+01,5.113130E+01,6.102154E+01,6.701564E+00,5.479694E-03,8.200431E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899910E+01,2.307825E+01,2.599966E+01,5.015429E+01,4.286192E+02,3.767247E+02,3.848968E-02,4.609968E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899908E+01,2.252800E+01,2.599929E+01,4.274887E+01
01:30:00,2.529801E+02,2.532741E+02,2.271748E-02,3.099340E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899911E+01,2.248573E+01,2.599920E+01,4.282671E+01,2.998792E+02,8.209060E+01,2.692842E-02,1.004518E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899887E+01,2.347442E+01,2.599951E+01,4.443265E+01,8.339969E+01,4.431713E+00,7.489232E-03,5.422814E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899908E+01,2.301385E+01,2.599981E+01,5.153028E+01,6.144556E+01,6.315230E+00,5.517767E-03,7.727684E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899908E+01,2.306967E+01,2.599967E+01,5.050324E+01,4.336273E+02,3.720131E+02,3.893937E-02,4.552355E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899907E+01,2.253459E+01,2.599921E+01,4.308004E+01
01:45:00,2.563956E+02,2.502171E+02,2.302417E-02,3.061963E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899910E+01,2.249446E+01,2.599912E+01,4.306542E+01,3.020921E+02,8.059039E+01,2.712711E-02,9.861664E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899886E+01,2.346565E+01,2.599946E+01,4.486695E+01,8.403618E+01,3.931635E+00,7.546382E-03,4.810892E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899907E+01,2.300475E+01,2.599983E+01,5.194415E+01,6.190932E+01,5.930441E+00,5.559408E-03,7.256827E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899907E+01,2.306050E+01,2.599968E+01,5.086731E+01,4.390149E+02,3.675170E+02,3.942315E-02,4.497380E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899906E+01,2.253954E+01,2.599913E+01,4.334644E+01
02:00:00,2.600366E+02,2.472980E+02,2.335110E-02,3.026269E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899908E+01,2.250183E+01,2.599907E+01,4.325030E+01,3.045050E+02,7.918828E+01,2.734374E-02,9.690149E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899884E+01,2.345692E+01,2.599942E+01,4.523868E+01,8.472852E+01,3.432867E+00,7.608547E-03,4.200574E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899906E+01,2.299526E+01,2.599985E+01,5.237592E+01,6.241296E+01,5.547083E+00,5.604628E-03,6.787720E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899906E+01,2.305096E+01,2.599969E+01,5.124909E+01,4.447844E+02,3.632378E+02,3.994120E-02,4.445056E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899905E+01,2.254339E+01,2.599908E+01,4.355644E+01
02:15:00,2.632724E+02,2.434072E+02,2.364165E-02,2.978679E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899907E+01,2.250819E+01,2.599902E+01,4.340010E+01,3.065723E+02,7.695486E+01,2.752935E-02,9.416898E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899883E+01,2.344827E+01,2.599939E+01,4.556105E+01,8.533323E+01,2.889025E+00,7.662842E-03,3.535103E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899905E+01,2.298554E+01,2.599987E+01,5.282429E+01,6.285285E+01,5.131724E+00,5.644124E-03,6.279455E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899905E+01,2.304120E+01,2.599970E+01,5.164686E+01,4.498932E+02,3.573129E+02,4.039993E-02,4.372586E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899904E+01,2.254645E+01,2.599904E+01,4.372809E+01
02:30:00,2.661003E+02,2.385394E+02,2.389557E-02,2.919127E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899907E+01,2.251368E+01,2.599901E+01,4.353211E+01,3.082925E+02,7.388372E+01,2.768378E-02,9.041117E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899881E+01,2.344007E+01,2.599939E+01,4.585528E+01,8.585027E+01,2.300035E+00,7.709265E-03,2.814390E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899905E+01,2.297641E+01,2.599990E+01,5.324537E+01,6.322884E+01,4.684280E+00,5.677882E-03,5.731929E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899904E+01,2.303206E+01,2.599973E+01,5.201635E+01,4.543370E+02,3.497354E+02,4.079893E-02,4.279883E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899903E+01,2.254892E+01,2.599902E+01,4.387947E+01
02:45:00,2.685161E+02,2.326889E+02,2.411249E-02,2.847542E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899906E+01,2.251846E+01,2.599900E+01,4.365529E+01,3.096605E+02,6.996739E+01,2.780659E-02,8.561894E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899881E+01,2.343243E+01,2.599940E+01,4.613482E+01,8.627962E+01,1.504316E+00,7.747814E-03,1.840721E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899904E+01,2.296819E+01,2.599993E+01,5.361652E+01,6.354091E+01,4.204616E+00,5.705899E-03,5.144978E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899903E+01,2.302385E+01,2.599975E+01,5.233509E+01,4.581095E+02,3.404969E+02,4.113766E-02,4.166842E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899902E+01,2.255097E+01,2.599902E+01,4.402040E+01
03:00:00,2.705149E+02,2.258511E+02,2.429196E-02,2.763869E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899905E+01,2.252264E+01,2.599900E+01,4.377272E+01,3.106708E+02,6.520087E+01,2.789729E-02,7.978617E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899880E+01,2.342523E+01,2.599942E+01,4.640573E+01,8.662132E+01,8.324417E-01,7.778493E-03,1.018596E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899903E+01,2.296075E+01,2.600599E+01,5.393706E+01,6.378959E+01,3.692579E+00,5.728226E-03,4.518413E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899902E+01,2.301644E+01,2.599978E+01,5.260213E+01,4.612033E+02,3.295906E+02,4.141545E-02,4.033383E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899901E+01,2.255266E+01,2.599902E+01,4.415457E+01
03:15:00,2.724242E+02,2.194089E+02,2.446340E-02,2.685035E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899904E+01,2.252630E+01,2.599900E+01,4.388514E+01,3.116288E+02,6.074785E+01,2.798330E-02,7.433690E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899880E+01,2.341826E+01,2.599944E+01,4.667052E+01,8.693279E+01,3.311817E-01,7.806458E-03,4.052413E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899903E+01,2.295386E+01,2.600375E+01,5.422947E+01,6.401636E+01,3.252152E+00,5.748585E-03,3.979473E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899902E+01,2.300956E+01,2.599981E+01,5.282528E+01,4.641467E+02,3.193364E+02,4.167974E-02,3.907900E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899901E+01,2.255404E+01,2.599902E+01,4.428306E+01
03:30:00,2.742429E+02,2.133649E+02,2.462671E-02,2.611071E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899904E+01,2.253062E+01,2.599900E+01,4.397858E+01,3.125301E+02,5.661054E+01,2.806422E-02,6.927394E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899879E+01,2.341264E+01,2.599946E+01,4.691258E+01,8.721409E+01,0.000000E+00,7.831713E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899902E+01,2.294818E+01,2.599712E+01,5.447968E+01,6.422157E+01,2.883011E+00,5.767010E-03,3.527765E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899901E+01,2.300391E+01,2.599982E+01,5.301364E+01,4.669376E+02,3.097376E+02,4.193033E-02,3.790435E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899900E+01,2.255620E+01,2.599902E+01,4.439158E+01
03:45:00,2.759733E+02,2.077216E+02,2.478207E-02,2.542011E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899903E+01,2.253604E+01,2.599900E+01,4.404881E+01,3.133776E+02,5.279276E+01,2.814031E-02,6.460201E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899879E+01,2.340867E+01,2.599947E+01,4.712494E+01,8.746530E+01,0.000000E+00,7.854268E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899902E+01,2.294385E+01,2.599148E+01,5.467690E+01,6.440545E+01,2.585298E+00,5.783520E-03,3.163464E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899901E+01,2.299964E+01,2.599983E+01,5.317397E+01,4.695790E+02,3.007978E+02,4.216750E-02,3.681032E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899900E+01,2.255955E+01,2.599902E+01,4.447550E+01
04:00:00,2.776198E+02,2.024798E+02,2.492991E-02,2.477864E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899903E+01,2.254240E+01,2.599901E+01,4.409955E+01,3.141764E+02,4.929699E+01,2.821202E-02,6.032413E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899878E+01,2.340598E+01,2.599950E+01,4.730988E+01,8.768651E+01,0.000000E+00,7.874128E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899901E+01,2.294063E+01,2.598753E+01,5.482632E+01,6.456765E+01,2.358931E+00,5.798084E-03,2.886466E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899901E+01,2.299647E+01,2.599984E+01,5.331093E+01,4.720774E+02,2.925197E+02,4.239183E-02,3.579727E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899899E+01,2.256391E+01,2.599903E+01,4.453835E+01
04:15:00,2.771344E+02,1.975387E+02,2.488632E-02,2.417395E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899902E+01,2.254934E+01,2.599902E+01,4.413650E+01,3.131822E+02,4.603583E+01,2.812274E-02,5.633335E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899878E+01,2.340410E+01,2.599952E+01,4.747297E+01,8.736197E+01,0.000000E+00,7.844982E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899901E+01,2.293815E+01,2.598388E+01,5.493856E+01,6.433618E+01,2.186863E+00,5.777297E-03,2.675914E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899901E+01,2.299405E+01,2.599986E+01,5.342797E+01,4.710089E+02,2.847378E+02,4.229586E-02,3.484493E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.899899E+01,2.256892E+01,2.599904E+01,4.458586E+01
